nx,ny,u,beta,n,j,betaj,d,spipi_dqmc,spi0_dqmc,s0pi_dqmc,s00_dqmc,ms2_z_dqmc,m2_su2_dqmc,Spipi_rpa,Spi0_rpa,S0pi_rpa,S00_rpa,ms2_z_rpa,m2_su2_rpa,alpha_norm
2,2,1.0,1.0,4,4.0,4.0,0.21188702,0.1440564899999999,0.1440564899999999,0.1440564899999999,0.1440564899999999,0.0360141224999999,0.1080423674999997,0.19975003325473278,0.12036864823503492,0.12036864823503492,0.13573863027519725,0.049937508313683196,0.14981252494104957,0.878512717591187
4,4,1.0,1.0,16,4.0,4.0,0.21894872,0.166466439322003,0.1419282587329306,0.1419282587329307,0.1117796032121357,0.0104041524576251,0.031212457372875303,0.1780890906189934,0.13877604808301167,0.13877604808301167,0.12113608837504833,0.011130568163687087,0.03339170449106126,0.6948444410074371
6,6,1.0,1.0,36,4.0,4.0,0.21913606,0.1848751888054382,0.1385269180709103,0.1385269180709103,0.0990191517680192,0.0051354219112621,0.0154062657337863,0.1785692460463367,0.1338742365043867,0.1338742365043867,0.12105074850402969,0.004960256834620464,0.014880770503861392,0.6996967712031473
2,2,1.0,4.0,4,4.0,16.0,0.18989493,0.155052535,0.155052535,0.155052535,0.155052535,0.03876313375,0.11628940125,0.3101049614292973,0.034456099932102066,0.034456099932102066,0.24119297870649853,0.07752624035732432,0.23257872107197297,0.2411927615650931
4,4,1.0,4.0,16,4.0,16.0,0.21196073,0.1921324183120593,0.1415090704206252,0.1415090704206252,0.1009279808466902,0.0120082761445037,0.036024828433511104,0.35417153553358693,0.17456016829365556,0.1745601682936556,0.20026289592550336,0.022135720970849183,0.06640716291254756,0.3328182990985754
6,6,1.0,4.0,36,4.0,16.0,0.21524999,0.2229606219903778,0.1386205537822289,0.1386205537822289,0.0740317733915975,0.0061933506108438,0.0185800518325314,0.36795843397642036,0.086840030052341,0.086840030052341,0.16293257944147507,0.010221067610456122,0.030663202831368364,0.39167216801005056
2,2,1.0,6.0,4,4.0,24.0,0.17935823,0.160320885,0.1603208849999999,0.1603208849999999,0.160320885,0.04008022125,0.12024066375,0.3647300132845631,0.012024066371353472,0.012024066371353472,0.25250539397273003,0.09118250332114078,0.27354750996342236,0.08416846460673709
4,4,1.0,6.0,16,4.0,24.0,0.20671022,0.197365479714793,0.1432661387945192,0.1432661387945192,0.1026818026961686,0.0123353424821745,0.0370060274465235,0.502409701091773,0.18717996893172645,0.18717996893172642,0.2727591308630029,0.03140060631823581,0.09420181895470743,0.21213010144254546
6,6,1.0,6.0,36,4.0,24.0,0.21226254,0.2299259809380909,0.1388368357382334,0.1388368357382334,0.0727737004076874,0.0063868328038358,0.019160498411507403,0.5261465496032589,0.06909958061566107,0.06909958061566107,0.22685132109296424,0.014615181933423859,0.04384554580027158,0.31331774036696836
2,2,4.0,1.0,4,1.0,1.0,0.1074882,0.1962558999999999,0.1962559,0.1962559,0.1962559,0.0490639749999999,0.1471919249999997,0.38235239925475906,0.12435722955733083,0.12435722955733083,0.1539567416305793,0.09558809981368976,0.2867642994410693,0.5345517605603904
