Nx,Ny,N,L,U,beta,D,S00,Spi0,S0pi,Spipi,ms2_z,ms2_su2
2,2,4,2,1.0,1.0,0.21188702,0.14405648999999998,0.14405648999999998,0.14405648999999998,0.14405648999999998,0.036014122499999995,0.10804236749999999
4,4,16,4,1.0,1.0,0.21894872,0.11177960321213579,0.14192825873293066,0.1419282587329307,0.16646643932200306,0.010404152457625191,0.031212457372875573
6,6,36,6,1.0,1.0,0.21913606,0.09901915176801923,0.13852691807091036,0.13852691807091036,0.1848751888054382,0.005135421911262173,0.015406265733786518
2,2,4,2,1.0,4.0,0.18989493,0.15505253500000002,0.155052535,0.155052535,0.155052535,0.03876313375,0.11628940125
4,4,16,4,1.0,4.0,0.21196073,0.1009279808466902,0.1415090704206252,0.1415090704206252,0.19213241831205932,0.012008276144503708,0.036024828433511125
6,6,36,6,1.0,4.0,0.21524999,0.07403177339159751,0.13862055378222893,0.13862055378222896,0.22296062199037786,0.00619335061084383,0.01858005183253149
2,2,4,2,1.0,6.0,0.17935823,0.160320885,0.16032088499999997,0.16032088499999997,0.160320885,0.04008022125,0.12024066375
4,4,16,4,1.0,6.0,0.20671022,0.1026818026961686,0.14326613879451922,0.1432661387945192,0.19736547971479304,0.012335342482174565,0.0370060274465237
6,6,36,6,1.0,6.0,0.21226254,0.07277370040768748,0.13883683573823347,0.13883683573823347,0.22992598093809094,0.006386832803835859,0.019160498411507576
2,2,4,2,4.0,1.0,0.1074882,0.1962559,0.1962559,0.1962559,0.19625589999999998,0.049063974999999996,0.147191925
4,4,16,4,4.0,1.0,0.13496431,0.14801181118765272,0.1808064711141455,0.1808064711141455,0.22044662658405625,0.013777914161503516,0.04133374248451055
6,6,36,6,4.0,1.0,0.13546684,0.13246032208747788,0.17931036389621322,0.17931036389621324,0.24245772419960776,0.006734936783322438,0.020204810349967312
2,2,4,2,4.0,4.0,0.07170713,0.214146435,0.214146435,0.214146435,0.214146435,0.05353660875,0.16060982625
4,4,16,4,4.0,4.0,0.12009309,0.12206573891744615,0.1807715724799637,0.1807715724799637,0.27620493612262637,0.017262808507664148,0.05178842552299244
6,6,36,6,4.0,4.0,0.12413798,0.09136164862229884,0.17437976282711687,0.17437976282711687,0.3310061640513315,0.009194615668092541,0.02758384700427762
2,2,4,2,4.0,6.0,0.07099836,0.21450081999999998,0.21450081999999995,0.21450081999999998,0.21450081999999998,0.053625204999999995,0.16087561499999997
4,4,16,4,4.0,6.0,0.10730346,0.12366141187014797,0.19265507984441546,0.19265507984441546,0.27642150844102115,0.01727634427756382,0.05182903283269147
6,6,36,6,4.0,6.0,0.1050344,0.08972408297543671,0.19000557028985265,0.19000557028985265,0.3292874842383494,0.009146874562176372,0.027440623686529116
2,2,4,2,10.0,1.0,0.01603837,0.241980815,0.241980815,0.241980815,0.241980815,0.06049520375,0.18148561124999998
4,4,16,4,10.0,1.0,0.03235547,0.2000943018848877,0.23507595530068154,0.23507595530068154,0.26504284751374924,0.016565177969609327,0.049695533908827985
6,6,36,6,10.0,1.0,0.03309914,0.18518203253657223,0.22748506002590307,0.22748506002590307,0.29512055206452664,0.008197793112903518,0.024593379338710555
2,2,4,2,10.0,4.0,0.01819553,0.240902235,0.24090223499999996,0.240902235,0.240902235,0.06022555875,0.18067667625
4,4,16,4,10.0,4.0,0.03144025,0.148797588759277,0.23987072810171392,0.23987072810171395,0.30858045503729514,0.019286278439830946,0.05785883531949284
6,6,36,6,10.0,4.0,0.03187712,0.1279655513845093,0.23229740426408027,0.23229740426408027,0.34167161544546165,0.00949087820681838,0.02847263462045514
2,2,4,2,10.0,6.0,0.01971324,0.24014338,0.24014338,0.24014338,0.24014337999999996,0.06003584499999999,0.18010753499999999
4,4,16,4,10.0,6.0,0.03317916,0.1442667074498318,0.238264585276132,0.238264585276132,0.31284580199790424,0.019552862624869015,0.058658587874607045
6,6,36,6,10.0,6.0,-0.11054505,0.1561692835397749,0.3433280109275598,0.3433280109275598,0.3772243420424773,0.01047845394562437,0.03143536183687311
