Nx,Ny,beta,U,L,D_mean,n_up,n_dn,S_pi_pi,map_csv,log
2,2,1.0,1.0,120,0.21188702,0.49986232,0.50013768,0.14405649,./maps/S_q_mean_N2x2_U1.0_beta1.0.csv,./logs/dqmc_N2x2_U1.0_beta1.0.log
2,2,1.0,4.0,120,0.10748820,0.50148261,0.49851739,0.19625590,./maps/S_q_mean_N2x2_U4.0_beta1.0.csv,./logs/dqmc_N2x2_U4.0_beta1.0.log
2,2,1.0,10.0,120,0.01603837,0.53752876,0.46247124,0.24198082,./maps/S_q_mean_N2x2_U10.0_beta1.0.csv,./logs/dqmc_N2x2_U10.0_beta1.0.log
2,2,4.0,1.0,120,0.18989493,0.50054508,0.49945492,0.15505253,./maps/S_q_mean_N2x2_U1.0_beta4.0.csv,./logs/dqmc_N2x2_U1.0_beta4.0.log
2,2,4.0,4.0,120,0.07170713,0.52797652,0.47202348,0.21414643,./maps/S_q_mean_N2x2_U4.0_beta4.0.csv,./logs/dqmc_N2x2_U4.0_beta4.0.log
2,2,4.0,10.0,120,0.01819553,0.50000000,0.50000000,0.24090223,./maps/S_q_mean_N2x2_U10.0_beta4.0.csv,./logs/dqmc_N2x2_U10.0_beta4.0.log
2,2,6.0,1.0,120,0.17935823,0.49988892,0.50011108,0.16032088,./maps/S_q_mean_N2x2_U1.0_beta6.0.csv,./logs/dqmc_N2x2_U1.0_beta6.0.log
2,2,6.0,4.0,120,0.07099836,0.53298379,0.46701621,0.21450082,./maps/S_q_mean_N2x2_U4.0_beta6.0.csv,./logs/dqmc_N2x2_U4.0_beta6.0.log
2,2,6.0,10.0,120,0.01971324,0.50000000,0.50000000,0.24014338,./maps/S_q_mean_N2x2_U10.0_beta6.0.csv,./logs/dqmc_N2x2_U10.0_beta6.0.log
4,4,1.0,1.0,120,0.21894872,0.49998296,0.50001704,0.16646644,./maps/S_q_mean_N4x4_U1.0_beta1.0.csv,./logs/dqmc_N4x4_U1.0_beta1.0.log
4,4,1.0,4.0,120,0.13496431,0.50123013,0.49876987,0.22044662,./maps/S_q_mean_N4x4_U4.0_beta1.0.csv,./logs/dqmc_N4x4_U4.0_beta1.0.log
4,4,1.0,10.0,120,0.03235547,0.49310192,0.50689808,0.26504285,./maps/S_q_mean_N4x4_U10.0_beta1.0.csv,./logs/dqmc_N4x4_U10.0_beta1.0.log
4,4,4.0,1.0,120,0.21196073,0.49999113,0.50000887,0.19213242,./maps/S_q_mean_N4x4_U1.0_beta4.0.csv,./logs/dqmc_N4x4_U1.0_beta4.0.log
4,4,4.0,4.0,120,0.12009309,0.49152576,0.50847424,0.27620494,./maps/S_q_mean_N4x4_U4.0_beta4.0.csv,./logs/dqmc_N4x4_U4.0_beta4.0.log
4,4,4.0,10.0,120,0.03144025,0.49246375,0.50753625,0.30858046,./maps/S_q_mean_N4x4_U10.0_beta4.0.csv,./logs/dqmc_N4x4_U10.0_beta4.0.log
4,4,6.0,1.0,120,0.20671022,0.49861475,0.50138525,0.19736548,./maps/S_q_mean_N4x4_U1.0_beta6.0.csv,./logs/dqmc_N4x4_U1.0_beta6.0.log
4,4,6.0,4.0,120,0.10730346,0.49948619,0.50051381,0.27642151,./maps/S_q_mean_N4x4_U4.0_beta6.0.csv,./logs/dqmc_N4x4_U4.0_beta6.0.log
4,4,6.0,10.0,120,0.03317916,0.49999999,0.50000001,0.31284580,./maps/S_q_mean_N4x4_U10.0_beta6.0.csv,./logs/dqmc_N4x4_U10.0_beta6.0.log
6,6,1.0,1.0,120,0.21913606,0.49985346,0.50014654,0.18487519,./maps/S_q_mean_N6x6_U1.0_beta1.0.csv,./logs/dqmc_N6x6_U1.0_beta1.0.log
6,6,1.0,4.0,120,0.13546684,0.50060860,0.49939140,0.24245773,./maps/S_q_mean_N6x6_U4.0_beta1.0.csv,./logs/dqmc_N6x6_U4.0_beta1.0.log
6,6,1.0,10.0,120,0.03309914,0.49452495,0.50547505,0.29512055,./maps/S_q_mean_N6x6_U10.0_beta1.0.csv,./logs/dqmc_N6x6_U10.0_beta1.0.log
6,6,4.0,1.0,120,0.21524999,0.49983771,0.50016229,0.22296062,./maps/S_q_mean_N6x6_U1.0_beta4.0.csv,./logs/dqmc_N6x6_U1.0_beta4.0.log
6,6,4.0,4.0,120,0.12413798,0.49963924,0.50036076,0.33100616,./maps/S_q_mean_N6x6_U4.0_beta4.0.csv,./logs/dqmc_N6x6_U4.0_beta4.0.log
6,6,4.0,10.0,120,0.03187712,0.48101687,0.51898313,0.34167162,./maps/S_q_mean_N6x6_U10.0_beta4.0.csv,./logs/dqmc_N6x6_U10.0_beta4.0.log
6,6,6.0,1.0,120,0.21226254,0.50037333,0.49962667,0.22992598,./maps/S_q_mean_N6x6_U1.0_beta6.0.csv,./logs/dqmc_N6x6_U1.0_beta6.0.log
6,6,6.0,4.0,120,0.10503440,0.50078102,0.49921898,0.32928749,./maps/S_q_mean_N6x6_U4.0_beta6.0.csv,./logs/dqmc_N6x6_U4.0_beta6.0.log
6,6,6.0,10.0,120,-0.11054505,0.49843986,0.50156014,0.37722434,./maps/S_q_mean_N6x6_U10.0_beta6.0.csv,./logs/dqmc_N6x6_U10.0_beta6.0.log
